title;description;url;image
To-do App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/ravi-konjeti/web-todo-application;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/ravi-konjeti/portfolio-website;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/ravi-konjeti/PDF-generator;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/ravi-konjeti/Pdf-Invoice-Generator;4.png
Daily News;A website that gets data from a news API and shares the data through email;https://github.com/ravi-konjeti/Daily-news-digest;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/ravi-konjeti/Weather-API;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/ravi-konjeti/Tour-Scraper;8.png
CHAT GPT GUI Chatbot;A chatbot built that can discuss anything with a human and is built using the CHATGPT API.;https://github.com/ravi-konjeti/Chat-gpt-gui-chatbot;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/ravi-konjeti/Webcam-Email-Monitoring-Alert-Application;11.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://github.com/ravi-konjeti;14.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/ravi-konjeti/Weather-forecast-dashboard;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQlite database backend.;https://github.com/ravi-konjeti/Student-Management-system;17.png
Student Management System MYSQL;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/ravi-konjeti/Student-management-system-MYSQL;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/ravi-konjeti/Restaurant-WebApp-Django;19.png
Movie Recommendation System;A machine learning algorithm which recommends a movie based on user behavior;https://github.com/ravi-konjeti/Movie-recommendation-application;download2.png
